"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"sepa_soc_1","numeric",353,0.119700748129676,6,3.53541076487252,4,4,NA,0.988294222383914,NA,1,5,4,-0.626310473038595,-2.41215691996028,-0.0254611515945835,-0.0491661840647812,NA,NA
"sepa_soc_2","numeric",353,0.119700748129676,6,1.94900849858357,2,2,NA,0.867798535504078,NA,1,5,4,0.878219105560966,3.38235169921815,0.672369458227921,1.29836391806425,NA,NA
"sepa_soc_3","numeric",353,0.119700748129676,6,2.6742209631728,3,3,NA,1.13510037947801,NA,1,5,4,0.310810110193572,1.1970464974978,-0.748679267726526,-1.44572025918728,NA,NA
"sepa_soc_4","numeric",353,0.119700748129676,6,2.09915014164306,2,2,NA,1.03836867391193,NA,1,5,4,0.682583183238704,2.6288842671106,-0.335143710566176,-0.647171723582045,NA,NA
"sepa_soc_5","numeric",353,0.119700748129676,6,1.87818696883853,2,2,NA,0.991099652790538,NA,1,5,4,1.03007303653732,3.96719823491579,0.313636034588375,0.605639809677759,NA,NA
"sepa_eco_1","numeric",353,0.119700748129676,6,3.29461756373938,4,4,NA,1.13488056711817,NA,1,5,4,-0.278563021490304,-1.07285084452272,-0.877924142858969,-1.69529566808368,NA,NA
"sepa_eco_2","numeric",353,0.119700748129676,6,2.97733711048159,3,3,NA,1.13545482587457,NA,1,5,4,0.0674568605566684,0.259801711763068,-0.955247561624165,-1.84460931658089,NA,NA
"sepa_eco_3","numeric",353,0.119700748129676,6,2.73937677053824,3,3,NA,1.06069052188132,NA,1,5,4,0.26085922971641,1.00466689155487,-0.691379867874959,-1.3350735419939,NA,NA
"sepa_eco_4","numeric",353,0.119700748129676,6,3.38243626062323,4,4,NA,1.02714728630919,NA,1,5,4,-0.59294235786454,-2.28364377290619,-0.361980745850091,-0.698994776896048,NA,NA
"sepa_eco_5","numeric",353,0.119700748129676,6,3.57223796033994,4,4,NA,0.942084143865664,NA,1,5,4,-0.68595878753239,-2.64188498737088,-0.0230074424344822,-0.0444280041847852,NA,NA
"secs_soc_1","numeric",349,0.129675810473815,63,3.53094555873925,3,3,NA,2.39301293037849,NA,1,11,10,1.03991769729902,3.98254878137974,0.796806951829066,1.53003473413226,NA,NA
"secs_soc_2","numeric",349,0.129675810473815,80,6.09541547277937,6.2,6.2,NA,2.19928976568302,NA,0,10,10,-0.533132031092193,-2.04172342316644,0.211016429623148,0.405195343809268,NA,NA
"secs_soc_3","numeric",349,0.129675810473815,79,4.43438395415473,5,5,NA,2.24132259839734,NA,0,10,10,0.0541561058629901,0.207400387520193,0.11426706236905,0.219416477216441,NA,NA
"secs_soc_4","numeric",348,0.13216957605985,84,4.27988505747126,5,5,NA,2.73746511585543,NA,0,10,10,-0.0402072449139379,-0.153761871460194,-0.885854893237027,-1.69862058569162,NA,NA
"secs_soc_5","numeric",349,0.129675810473815,81,4.37449856733524,5,5,NA,2.406160100425,NA,0,10,10,-0.0857381681990302,-0.32834948204617,-0.571071755732206,-1.096576303641,NA,NA
"secs_soc_6","numeric",348,0.13216957605985,80,6.79942528735632,7,7,NA,2.339338982141,NA,0,10,10,-0.629671115675022,-2.40800903811883,-0.0580700026557199,-0.11134882549639,NA,NA
"secs_soc_7","numeric",349,0.129675810473815,80,3.64040114613181,4,4,NA,2.4542599276854,NA,0,10,10,0.215448995219793,0.825100039734544,-0.647543353687648,-1.24341764429176,NA,NA
"secs_eco_1","numeric",349,0.129675810473815,72,4.82034383954155,5,5,NA,1.83388097260006,NA,0,10,10,-0.140415385902526,-0.537745559543329,0.649181149697095,1.24656255257365,NA,NA
"secs_eco_2","numeric",348,0.13216957605985,67,3.87126436781609,3.9,3.9,NA,1.84992611713062,NA,1,10.9,9.9,0.50169815545568,1.91861062492873,0.449602248740687,0.862109179409176,NA,NA
"secs_eco_3","numeric",346,0.13715710723192,48,1.16242774566474,0.5,0.5,NA,1.72103066583231,NA,0,10,10,2.18659271872707,8.33818164651741,5.16136935734725,9.8688087133685,NA,NA
"secs_eco_4","numeric",349,0.129675810473815,71,5.68481375358166,5.4,5.4,NA,1.7687009916804,NA,0,10,10,-0.240914246970193,-0.922623726070002,1.0318512183222,1.98136851199102,NA,NA
"secs_eco_5","numeric",349,0.129675810473815,77,5.71862464183381,5.7,5.7,NA,1.96541135162977,NA,0.1,10,9.9,-0.425578418408575,-1.62982783735359,0.401766610812782,0.771475284128829,NA,NA
"fam_1","numeric",350,0.127182044887781,80,5.23571428571429,5.6,5.6,NA,2.53453147048265,NA,0,10,10,-0.245835087706814,-0.942805365926422,-0.633558284674312,-1.21828079277125,NA,NA
"fam_2","numeric",350,0.127182044887781,91,4.76142857142857,5,5,NA,2.59366060178137,NA,0,10,10,-0.0601581913567335,-0.230713467896815,-0.861984317350964,-1.65752538148649,NA,NA
"fam_3","numeric",350,0.127182044887781,87,3.79114285714286,4,4,NA,2.45114004401013,NA,0,10,10,0.188556877012347,0.7231369496025,-0.817245935067425,-1.57149712938382,NA,NA
"grp_1","numeric",350,0.127182044887781,81,4.37314285714286,5,5,NA,2.16975005681444,NA,0,10,10,-0.276671338143862,-1.06106587401049,-0.706973687142596,-1.35945261055697,NA,NA
"grp_2","numeric",351,0.124688279301746,82,4.47663817663818,4.8,4.8,NA,2.30045239839498,NA,0,10,10,-0.00116991886755811,-0.00449312209295064,-0.682741119741982,-1.31470346160305,NA,NA
"grp_3","numeric",351,0.124688279301746,85,5.75754985754986,6.1,6.1,NA,2.39674630213397,NA,0,10,10,-0.512508859218658,-1.96831160009811,-0.276458883007609,-0.532356174209009,NA,NA
"rec_1","numeric",350,0.127182044887781,79,5.47057142857143,5.9,5.9,NA,2.18815964967743,NA,0,10,10,-0.518722634052087,-1.98935997043289,0.00613982791003087,0.0118063871859187,NA,NA
"rec_2","numeric",351,0.124688279301746,78,6.73304843304843,7,7,NA,2.03393821944146,NA,0,10,10,-0.713052050718239,-2.7385060719578,0.431087167594144,0.830112285756072,NA,NA
"rec_3","numeric",351,0.124688279301746,77,6.55185185185185,7,7,NA,2.12959841707056,NA,0,10,10,-0.807596237254068,-3.10160695447526,0.586098211557511,1.12860544838023,NA,NA
"her_1","numeric",351,0.124688279301746,87,5.85954415954416,6,6,NA,2.24471794414324,NA,0,10,10,-0.393603573208372,-1.5116509013468,-0.223840238214453,-0.431032389169422,NA,NA
"her_2","numeric",351,0.124688279301746,88,4.50769230769231,5,5,NA,2.42610165301647,NA,0,10,10,0.0790529336546808,0.303606081212947,-0.580498323718827,-1.11782216359889,NA,NA
"her_3","numeric",350,0.127182044887781,84,3.61371428571429,3,3,NA,3.02244429984088,NA,0,10,10,0.445084721585161,1.70695024748791,-1.00421628342275,-1.9310258258417,NA,NA
"def_1","numeric",350,0.127182044887781,78,3.23114285714286,3.1,3.1,NA,2.21019423931968,NA,0,10,10,0.330412555442992,1.26716952062039,-0.600003936241362,-1.15375852355204,NA,NA
"def_2","numeric",350,0.127182044887781,87,4.46028571428571,5,5,NA,2.47336410665582,NA,0,10,10,-0.226899276602168,-0.870184388651928,-0.779071905876626,-1.49809159169167,NA,NA
"def_3","numeric",351,0.124688279301746,87,5.19173789173789,5.3,5.3,NA,2.74111866626229,NA,0,10,10,-0.258364398250296,-0.992259222413679,-0.78263676213383,-1.50706502157656,NA,NA
"fai_1","numeric",351,0.124688279301746,73,7.73190883190883,8.3,8.3,NA,2.32726855291325,NA,0,10,10,-1.26149451171974,-4.84482216495445,1.27448051628865,2.45417171759562,NA,NA
"fai_2","numeric",351,0.124688279301746,58,8.81452991452992,9.5,9.5,NA,1.58577236470875,NA,2,10,8,-1.66270160307282,-6.38567469412989,2.76085614262435,5.31637398530794,NA,NA
"fai_3","numeric",351,0.124688279301746,77,7.11139601139601,7.5,7.5,NA,2.5436500298106,NA,0,10,10,-0.807073565668151,-3.09959961250039,0.0383852176887736,0.0739155400349826,NA,NA
"pro_1","numeric",351,0.124688279301746,92,5.78062678062678,5.6,5.6,NA,2.70121044936116,NA,1,11,10,0.126652237207959,0.486413187188332,-0.80682470531317,-1.5536419329525,NA,NA
"pro_2","numeric",350,0.127182044887781,70,9.09971428571429,9.9,9.9,NA,2.04908951157408,NA,1,11,10,-1.45526289118981,-5.58109778163012,2.10509162536316,4.04791912005681,NA,NA
"pro_3","numeric",350,0.127182044887781,70,8.53914285714286,9.15,9.15,NA,2.22996893270992,NA,1,11,10,-0.868759791248544,-3.33179205836996,0.116404224547954,0.223835808629832,NA,NA
