"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"secs_soc_1","numeric",1337,0,74,18.4659685863874,10,10,NA,23.5947684874858,NA,1,101,100,1.64503481766473,12.2919739033649,2.4728701842477,9.24572016368392,NA,NA
"secs_soc_2","integer",1337,0,94,34.8257292445774,32,32,NA,25.7783678244009,NA,0,100,100,0.532268297372922,3.97719729129152,-0.323892613524865,-1.2109897587067,NA,NA
"secs_soc_3","integer",1337,0,95,30.1069558713538,25,25,NA,26.1504128227681,NA,0,100,100,0.659148559169444,4.92526772123473,-0.330723460623106,-1.23652935280006,NA,NA
"secs_soc_4","integer",1337,0,95,36.1802543006731,38,38,NA,27.7932588689782,NA,0,100,100,0.343584113713141,2.56731767256334,-0.721482479551069,-2.69752336836045,NA,NA
"secs_soc_5","integer",1337,0,89,25.5482423335826,20,20,NA,24.0550942351052,NA,0,100,100,0.882728805421307,6.5958965266099,0.166344389936279,0.621938705050722,NA,NA
"secs_soc_6","integer",1337,0,94,56.1660433807031,52,52,NA,25.8467550050008,NA,0,100,100,-0.213660173936907,-1.59650437426554,-0.573269564289729,-2.14337574351575,NA,NA
"secs_soc_7","integer",1337,0,90,29.4113687359761,24,24,NA,25.861326222922,NA,0,100,100,0.689639858850702,5.15310378642742,-0.328162415748952,-1.22695395964602,NA,NA
"secs_eco_1","integer",1337,0,95,42.9955123410621,50,50,NA,24.6497010991408,NA,0,100,100,0.189231879085723,1.41397209009133,-0.35998265138709,-1.34592542694211,NA,NA
"secs_eco_2","numeric",1337,0,88,23.18698578908,20,20,NA,21.1426091181741,NA,1,101,100,1.05756097738962,7.90227160890384,0.975368078888785,3.64676656762681,NA,NA
"secs_eco_3","integer",1337,0,93,27.8930441286462,20,20,NA,29.2836594973321,NA,0,100,100,0.87409799165432,6.53140564991271,-0.273497910423975,-1.02257092233964,NA,NA
"secs_eco_4","integer",1337,0,92,66.1600598354525,69,69,NA,23.1166617463642,NA,0,100,100,-0.515355163336469,-3.85081953930247,0.058450813409924,0.218539520420586,NA,NA
"secs_eco_5","integer",1337,0,98,48.8541510845176,50,50,NA,22.7965579307301,NA,0,100,100,-0.123428244774574,-0.92227638431444,-0.290815910846481,-1.08732053464076,NA,NA
"fam_1","integer",1337,0,93,69.0815258040389,71,71,NA,21.4830756686548,NA,0,100,100,-0.742582747396542,-5.54870185972415,0.556967413063201,2.08242425108939,NA,NA
"fam_2","integer",1337,0,96,59.1443530291698,62,62,NA,22.3715083560938,NA,0,100,100,-0.546403824681858,-4.08282030359858,0.0102842366245741,0.0384513406864697,NA,NA
"fam_3","integer",1337,0,100,60.3261032161556,63,63,NA,24.9616145280833,NA,0,100,100,-0.486019399319187,-3.63161782888055,-0.326937133546445,-1.22237279867846,NA,NA
"grp_1","integer",1337,0,92,65.5422587883321,69,69,NA,22.5374914252753,NA,0,100,100,-0.747628506935511,-5.58640461465047,0.392799671098941,1.46862373225335,NA,NA
"grp_2","integer",1337,0,95,65.2924457741212,67,67,NA,21.7215064530883,NA,0,100,100,-0.610884470949968,-4.56463042256303,0.254265818891644,0.950664787677588,NA,NA
"grp_3","integer",1337,0,98,56.3919222139117,59,59,NA,24.5065467355995,NA,0,100,100,-0.36114574513067,-2.69854110489848,-0.405931787263904,-1.51772290130462,NA,NA
"rec_1","integer",1337,0,76,77.3433059087509,79,79,NA,16.7534834743066,NA,0,100,100,-0.823590552954015,-6.15400566313839,1.09973650388169,4.11176293581763,NA,NA
"rec_2","integer",1337,0,81,75.4390426327599,77,77,NA,18.0413962188594,NA,0,100,100,-0.909992535163298,-6.79961565212524,1.27049666088072,4.75021158418454,NA,NA
"rec_3","integer",1337,0,92,76.0837696335079,79,79,NA,19.0171018566115,NA,0,100,100,-0.996586729998369,-7.44666188583755,1.34858852251537,5.04218627187106,NA,NA
"her_1","integer",1337,0,97,49.7883320867614,50,50,NA,24.8724756186154,NA,0,100,100,-0.163676611038742,-1.22301887466157,-0.601350793383502,-2.24836758162645,NA,NA
