"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"secs_soc_1","numeric",518,0,94,52.980694980695,51,51,NA,32.844979271509,NA,1,101,100,0.0390353815303101,0.18187376094406,-1.23595510757131,-2.88476093656309,NA,NA
"secs_soc_2","integer",518,0,80,73.3976833976834,78.5,78.5,NA,23.4761526484281,NA,0,100,100,-0.945767241367012,-4.40652142804202,0.589611804034238,1.37617385097163,NA,NA
"secs_soc_3","integer",518,0,96,62.8455598455598,70,70,NA,32.2683275194816,NA,0,100,100,-0.623068069864464,-2.90300052792916,-0.8300501765913,-1.93736512770528,NA,NA
"secs_soc_4","integer",518,0,80,73.7779922779923,83,83,NA,27.6414410491325,NA,0,100,100,-1.03145929090745,-4.8057780696307,0.179669256580574,0.419354108988192,NA,NA
"secs_soc_5","integer",518,0,83,73.0598455598456,81,81,NA,26.379434313779,NA,0,100,100,-1.05116118006634,-4.8975731677841,0.385803735627551,0.900478940457198,NA,NA
"secs_soc_6","integer",518,0,69,82.3745173745174,90,90,NA,20.2597896974953,NA,0,100,100,-1.57874545033242,-7.35569530433125,2.76159132240996,6.44564735469588,NA,NA
"secs_soc_7","integer",518,0,84,74.2586872586873,81,81,NA,25.2104233726702,NA,0,100,100,-1.06702752421561,-4.97149768369079,0.623029430112812,1.45417171813816,NA,NA
"secs_eco_1","integer",518,0,93,64.5019305019305,64.5,64.5,NA,25.2564984099789,NA,0,100,100,-0.450018244585792,-2.09672628850086,-0.337727260935063,-0.78826682586585,NA,NA
"secs_eco_2","numeric",518,0,98,43.0559845559846,42,42,NA,27.601662847894,NA,1,101,100,0.422825398091049,1.97002930056612,-0.612106111280291,-1.42867632330331,NA,NA
"secs_eco_3","integer",518,0,94,52.7857142857143,52,52,NA,33.7054373554545,NA,0,100,100,-0.0915409148734712,-0.426507691627678,-1.31852169225001,-3.07747413195947,NA,NA
"secs_eco_4","integer",518,0,76,75.1911196911197,81,81,NA,21.3362179321709,NA,0,100,100,-0.816035727491365,-3.80207598863445,0.260526406562784,0.608077426106767,NA,NA
"secs_eco_5","integer",518,0,91,65.4362934362934,68,68,NA,22.5367697696603,NA,0,100,100,-0.602376246510787,-2.80659312555239,0.22332961638122,0.521258862370932,NA,NA
"fam_1","integer",518,0,87,70.2335907335907,73,73,NA,23.5561281033399,NA,0,100,100,-0.775353895394735,-3.61253108051657,0.219632309287201,0.512629222823375,NA,NA
"fam_2","integer",518,0,83,74.1544401544402,77.5,77.5,NA,23.9929730520318,NA,0,100,100,-0.971006993709433,-4.52411855413258,0.566571273183438,1.32239647431053,NA,NA
"fam_3","integer",518,0,86,71.5694980694981,74,74,NA,23.6329523604597,NA,0,100,100,-0.840797670441909,-3.91744690384379,0.32749573005217,0.764386087454396,NA,NA
